Code;Name field (ITA);Name field (ENG);STD ref (ISDIAH);Repetitive field;Dimension;Type;Vocabulary;Mandatory;Description
;;;;;;;;;
TSK;Tipo scheda;Catalogue card type;;;5;N;;;
IDK;Codice univoco;Identification code;5.1.1;;30;T;;Obl.;Code that uniquely identifies an holding institution.
VSV;Visibile (pubblicabile online);Visibility (online);;;1;T;Yes / No;Obl.;Check the visibility online.
ENT;Tipologia entità;Type of entity;5.1.6;;100;T;VOC_HO_ENT;Obl.;To identify the type of an institution with archival holdings. 
APP;Denominazione;Appellation;;;;;;;
APA;Denominazione;Appellation;5.1.2;;255;T;;Obl.;Appellation of the holding institution. If it is a person, please indicate in this way: Surname, Name
APK;Codice Identificativo;Identification code;;;30;T;;;If it is a person for whom we have the PE catalogue card, enter the corresponding identification code.
APF;Forme parallele della denominazione;Parallel forms of appellation;5.1.3;Rep.;;;;;To indicate the various forms in which the Authorized form of name occurs in other languages or scriptform(s).
APFS;Denominazione;Appellation;5.1.3;;255;T;;;
APFL;Lingua;Language;5.1.3;;255;T;VOC_LANGUAGE;;
PLC;Luoghi;Places;5.2.1;Rep.;;;;;To provide all relevant addresses for the institution with archival holdings, both physical and electronic. 
PLCS;Descrizione;Description;5.2.1;;255;T;;;
PLCP;Luogo;Place;5.2.1;;255;T;;;
PLCA;Latitudine;Latitude;5.2.1;;100;T;;;
PLCO;Longitudine;Longitude;5.2.1;;100;T;;;
PLCI;Indirizzo completo;Complete address;5.2.1;;255;T;;;
INF;Informazioni generali;General information;;;;;;;
HIS;Storia dell'istituto conservatore di archivi;History of the institution with archival holdings ;5.3.1;;longtext;T;;;To provide a concise history of the institution with archival holdings. 
GCC;Contesto territoriale e culturale;Geographical and cultural context ;5.3.2;;500;T;;;To provide information about the geographical and cultural context of the institution with archival holdings. 
RMC;Politiche di gestione documentaria e di acquisizione;Records management and collecting policies ;5.3.5;;500;T;;;To provide information about the records management and collecting policies of the institution with archival holdings. 
AOH;Patrimonio archivistico ed altri materiali conservati;Archival and other holdings ;5.3.7;Rep.;500;T;;;To provide a profile of the holdings of the institution. 
CRA;Condizioni e requisiti per l'accesso e l'uso;Conditions and requirements for access and use ;5.4.2;;500;T;;;To provide information about the conditions, requirements and procedures for access to, and use of institutional services. 
WEB;Sito web;Website;5.2.1;;255;T;;;
EMA;Email;Email;5.2.2;;100;T;;;
BIB;Bibliografia;Bibliography;5.3.8;Rep.;;;;;To provide a general overview of the published and/or unpublished finding aids and guides prepared by the institution with archival holdings and any other relevant publications.
BIBD;Descrizione;Description;5.3.8;;255;T;;;
BIBL;Link;Link;5.3.8;;500;T;;;
LNK;Altri link;Other links;;Rep.;;;;;
LNKD;Descrizione;Description;;;255;T;;;
LNKL;Link;Link;;;500;T;;;
CMZ;Compilazione;Data entry;5.6.6;;;;;;
CMZD;Data;Date;5.6.6;;10;D;;;Format date: YYYY-MM-DD
CMZN;Nome utente;User's name;5.6.6;;255;T;;;Format: Surname, Name
CMZC;Codice utente;User's code;5.6.6;;30;T;;;Not already available
AGR;Ultimo aggiornamento;Last update;5.6.6;;;;;;
AGRD;Data;Date;5.6.6;;10;D;;;Format date: YYYY-MM-DD
AGRN;Nome utente;User's name;5.6.6;;255;T;;;Format: Surname, Name
AGRC;Codice utente;User's code;5.6.6;;30;T;;;Not already available
OSS;Appunti;General notes;5.6.9;;500;T;;;
;;;;;;;;;
DOC;Allegati;Attachments;;Rep.;;;;;Area where you can attach related documentation, such as personal Identity Card or photos.
DOCN;Titolo;Title;;;255;T;;;
DOCD;Descrizione;Description;;;500;T;;;
DOCL;Caricamento;Loading;;;;;;;
;;;;;;;;;
COR;Entità correlate;Related entities;;Rep.;;;;;To link other entities to this catalogue card, such as resource's catalogue cards.
CORT;Tipo scheda;Catalogue card type;;;5;T;;;
CORK;Codice identificativo entità;Entity identification code;;;30;T;;;
CORD;Descrizione relazione;Relation description;;;500;T;;;
