Code;Name field (ITA);Name field (ENG);STD ref (ISAAR (CPF));Repetitive field;Dimension;Type;Vocabulary;Mandatory;Description;
;;;;;;;;;;
TSK;Tipo scheda;Catalogue card type;;;5;N;;;;
IDK;Codice univoco;Identification code;5.1.6;;30;T;;Obl.;Code that uniquely identifies a person.;
VSV;Visibile (pubblicabile online);Visibility (online);;;1;T;Yes / No;Obl.;Check the visibility online.;
APP;Denominazione;Appellation;;;;;;;;
APS;Cognome;Surname;5.1.2;;255;T;;Obl.;Surname of the person.;
APN;Nome;Name;5.1.2;;255;T;;;Name of the person.;
APA;Pseudonimo/Anonimizzazione;Pseudonymised/Anonymised;5.1.5;Rep.;;;;;The person has a pseudonymisation or an anonymisation.;
APAN;Denominazione;Name;5.1.5;;255;T;;;;
APAC;Categoria;Category;5.1.5;;1;T;VOC_PE_APAC;;;
APF;Forme parallele del nome;Parallel forms of name;5.1.3;Rep.;;;;;To indicate the various forms in which the Authorized form of name occurs in other languages or scriptform(s).;
APFS;Cognome;Surname;5.1.3;;255;T;;;;
APFN;Nome;Name;5.1.3;;255;T;;;;
APFL;Lingua;Language;5.1.3;;255;T;VOC_LANGUAGE;;;
INF;Informazioni generali;General information;;;;;;;;
OCC;Professione;Occupation;5.2.5;Rep.;;T;VOC_PE_OCC;;The individual's primary skill and livehood.;
ETN;Comunità di appartenenza;Foreign community;5.2.2;;2;T;VOC_PE_ETN;;Ethnic community with which the individual identifies.;
ING;Genere;Gender;5.2.2;;1;T;VOC_PE_ING;;Gender of the individual.;
INL;Lingua;Language;5.4.7;;;;;;;
INLP;Lingua primaria;Primary language;5.4.7;;255;T;VOC_LANGUAGE;;Language used the most in everyday life.;
INLO;Altre lingue;Other language;5.4.7;Rep.;255;T;VOC_LANGUAGE;;Other language th individual uses or converses in.;
CHR;Estremi cronologici;Chronological details;;;;;;;;
DOB;Data di nascita;Date of birth;5.2.1;;10;D;;;Format date: YYYY-MM-DD;
DOS;Specifiche della data di nascita;Date of birth details;5.2.1;;100;T;;;Information that completes the date of birth. If the date is uncertain; enter (?).
DOD;Data di morte;Date of death;5.2.1;;10;D;;;Format date: YYYY-MM-DD;
DOT;Specifiche della data di nascita;Date of death details;5.2.1;;100;T;;;Information that completes the date of death. If the date is uncertain; enter (?).
POB;Luogo di nascita;Place of birth;5.2.3;;;T;;;;
POBD;Denominazione;Place;5.2.3;;300;T;;;;
POBA;Latitudine;Latitude;5.2.3;;100;T;;;;
POBO;Longitudine;Longitude;5.2.3;;100;T;;;;
POD;Luogo di morte;Place of death;5.2.3;;;T;;;;
PODD;Denominazione;Place;5.2.3;;255;T;;;;
PODA;Latitudine;Latitude;5.2.3;;100;T;;;;
PODO;Longitudine;Longitude;5.2.3;;100;T;; ;;
DOA;Altre date;Other dates;5.2.1;Rep.;;;;;;
DOAS;Descrizione;Description;5.2.1;;300;T;;;;
DOAD;Data;Date;5.2.1;;10;D;;;Format date: YYYY-MM-DD;
POA;Altri luoghi;Other places;5.2.3;Rep.;;;;;;
POAS;Descrizione;Description;5.2.3;;255;T;;;;
POAP;Luogo;Place;5.2.3;;255;T;;;;
POAA;Latitudine;Latitude;5.2.3;;100;T;;;;
POAO;Longitudine;Longitude;5.2.3;;100;T;;;;
POAI;Indirizzo completo;Complete address;5.2.3;;255;T;;;;
BIO;Biografia;Biography;5.2.2;;;;;;;
BION;Note biografiche;Biographical  notes;5.2.2;;longtext;T;;;;
BIOF;Fonte ;Source;5.2.2;;255;T;;;;
REL;Relazioni;Relations;5.2.7;;;;;;;
REI;Informazioni sulla relazione;Relation info;5.2.7;;;;;;;
REIT;Tipo di relazione;Relations type;5.2.7;;2;T;VOC_PE_REIT;;;
REIS;Cognome;Surname;5.2.7;;255;T;;;;
REIN;Nome;Name;5.2.7;;255;T;;;;
REIK;Codice identificativo;Identification code;5.2.7;;30;T;;;Identification code of other persons already catalogued for the project.;
COD;Altri codici;Other codes;5.1.6;Rep.;;;;;;
CODK;Codice identificativo;Identification code;5.1.6;;50;T;;;Identification code of the person described using other standards.;
CODP;Permalink;Permalink;5.1.6;;500;T;;;Permalink provided by the standard.;
CODS;Standard;Standard;5.1.6;;1;T;VOC_PE_CODS;;Standard by which the person catalogued on other platforms has been identified.;
BIB;Bibliografia;Bibliography;5.4.8;Rep.;;;;;;
BIBD;Descrizione;Description;5.4.8;;255;T;;;;
BIBL;Link;Link;5.4.8;;500;T;;;;
LNK;Altri link;Other links;;Rep.;;;;;;
LNKD;Descrizione;Description;;;255;T;;;;
LNKL;Link;Link;;;500;T;;;;
CMZ;Compilazione;Data entry;5.4.6;;;;;;;
CMZD;Data;Date;5.4.6;;10;D;;;Format date: YYYY-MM-DD;
CMZN;Nome utente;User's name;5.4.6;;255;T;;;Format: Surname; Name
CMZC;Codice utente;User's code;5.4.6;;30;T;;;Not already available;
AGR;Ultimo aggiornamento;Last update;5.4.6;;;;;;;
AGRD;Data;Date;5.4.6;;10;D;;;Format date: YYYY-MM-DD;
AGRN;Nome utente;User's name;5.4.6;;255;T;;;Format: Surname; Name
AGRC;Codice utente;User's code;5.4.6;;30;T;;;Not already available;
OSS;Appunti;General notes;5.4.9;;500;T;;;;
;;;;;;;;;;
DOC;Allegati;Attachments;;Rep.;;;;;Area where you can attach related documentation; such as personal Identity Card or photos.
DOCN;Titolo;Title;;;255;T;;;;
DOCD;Descrizione;Description;;;500;T;;;;
DOCL;Caricamento;Loading;;;;;;;;
;;;;;;;;;;
COR;Entità correlate;Related entities;3.05.03;Rep.;;;;;To link other entities to this catalogue card; such as resource's catalogue cards.
CORT;Tipo scheda;Catalogue card type;3.05.03;;5;T;;;;
CORK;Codice identificativo entità;Entity identification code;3.05.03;;30;T;;;;
CORD;Descrizione relazione;Relation description;3.05.03;;500;T;;;;
