Code,Value eng,Value ita
1,Account books,Libri contabili / Registri
2,"Albums (photograph, autograph, scrapbook)","Album (fotografici, di autografi, ritagli)"
3,Architectural drawings,Disegni architettonici
4,Artifacts (three-dimensional objects),Manufatti / Oggetti tridimensionali
5,Audio cassettes,Audiocassette
6,Blueprints,Cianografie / Blueprint
7,"Broadsides (posters, announcements)","Fogli volanti (manifesti, avvisi)"
8,"Certificates (birth, death, marriage)","Certificati (nascita, morte, matrimonio)"
9,Certificates (stock and bond),"Certificati (azionari, obbligazionari)"
10,Charts,Carte nautiche / Grafici / Tabelle
11,Coins and medals,Monete e medaglie
12,Compact discs,Compact disc (CD)
13,Correspondence (letters),Corrispondenza (lettere)
14,Daguerreotypes,Dagherrotipi
15,Diaries and journals,Diari e giornali intimi
16,Digital files (born-digital),File digitali (nati digitali)
17,"Documents (administrative, legal, financial)","Documenti (amministrativi, legali, finanziari)"
18,Drawings,Disegni
19,"Ephemera (tickets, flyers, programs)","Effimera / Materiale effimero (biglietti, volantini, programmi)"
20,Films (motion picture),Film (pellicole cinematografiche)
21,"Financial records (ledgers, receipts)","Registri finanziari (libri mastri, ricevute)"
22,Floppy disks,Floppy disk / Dischetti
23,Glass plate negatives,Lastre fotografiche negative
24,Index cards,Schede / Schede di catalogo
25,Ledgers,Libri mastri
26,"Legal documents (deeds, contracts, wills)","Atti legali (rogiti, contratti, testamenti)"
27,Logbooks,Giornali di bordo / Registri
28,Magnetic tapes,Nastri magnetici
29,Manuscripts (unpublished writings),Manoscritti (scritti inediti)
30,Maps,Mappe / Carte geografiche
31,Memoirs,Memorie
32,Memoranda,Memorandum / Appunti
33,Microfiche,Microfiche / Schede di microfilm
34,Microfilm,Microfilm
35,Minutes (meeting records),Verbali (di riunioni)
36,Newspapers,Giornali
37,Notebooks,Taccuini / Quaderni
38,Notes (handwritten),Appunti (manoscritti)
39,Paintings,Dipinti
40,Pamphlets,Opuscoli / Brochure
41,Patent records,Brevetti
42,Photocopies,Fotocopie
43,Photographs (prints),Fotografie (stampe)
44,Photograph albums,Album fotografici
45,Photographic negatives,Negativi fotografici
46,"Photographic positives (slides, transparencies)","Positivi fotografici (diapositive, trasparenti)"
47,Plans,Piante / Planimetrie
48,Posters,Poster / Manifesti
49,Postcards,Cartoline
50,Prints (artistic),Stampe (artistiche)
51,Prospectuses,Prospetti informativi
52,Reports,Rapporti / Relazioni
53,Scrapbooks,Album di ritagli
54,Seals and stamps,Sigilli e timbri
55,Slides (35mm),Diapositive (35mm)
56,"Sound recordings (wax cylinders, vinyl records)","Registrazioni sonore (cilindri di cera, dischi in vinile)"
57,Speeches,Discorsi
58,Spreadsheets,Fogli di calcolo
59,Telegrams,Telegrammi
60,"Video cassettes (VHS, Betamax)","Videocassette (VHS, Betamax)"
61,Video recordings (digital),Registrazioni video (digitali)
62,"Vital records (birth, death, marriage certificates)","Registri di stato civile (certificati di nascita, morte, matrimonio)"
