Code,Value
1,Afrikaans
2,Albanian (Shqip)
3,Amharic (አማርኛ)
4,Arabic (العربية)
5,Armenian (Հայերեն)
6,Assamese (অসমীয়া)
7,Aymara (Aymar aru)
8,Azerbaijani (Azərbaycan dili)
9,Balochi (بلوچی)
10,Basque (Euskara)
11,Belarusian (Беларуская)
12,Bengali (বাংলা)
13,Bhojpuri (भोजपुरी)
14,Bosnian (Bosanski)
15,Bulgarian (Български)
16,Burmese (မြန်မာဘာသာ)
17,Catalan (Català)
18,Cebuano (Binisaya)
19,Chewa (Chichewa)
20,Chinese (Cantonese) (粵語)
21,Chinese (Mandarin) (普通话)
22,Chinese (Wu) (吴语)
23,Croatian (Hrvatski)
24,Czech (Čeština)
25,Danish (Dansk)
26,Dutch (Nederlands)
27,English
28,Esperanto
29,Estonian (Eesti)
30,Farsi (فارسی) - See Persian
31,Fijian (Na vosa vaka-Viti)
32,Filipino - See Tagalog
33,Finnish (Suomi)
34,French (Français)
35,Galician (Galego)
36,Georgian (ქართული)
37,German (Deutsch)
38,Greek (Ελληνικά)
39,Guarani (Avañe'ẽ)
40,Gujarati (ગુજરાતી)
41,Haitian Creole (Kreyòl ayisyen)
42,Hausa (حَوْسَ)
43,Hawaiian (ʻŌlelo Hawaiʻi)
44,Hebrew (עברית)
45,Hindi (हिन्दी)
46,Hmong (Hmoob)
47,Hungarian (Magyar)
48,Icelandic (Íslenska)
49,Igbo (Ásụ̀sụ́ Ìgbò)
50,Indonesian (Bahasa Indonesia)
51,Irish (Gaeilge)
52,Italian (Italiano)
53,Japanese (日本語)
54,Javanese (Basa Jawa)
55,Kannada (ಕನ್ನಡ)
56,Kazakh (Қазақша)
57,Khmer (ភាសាខ្មែរ)
58,Kinyarwanda
59,Korean (한국어)
60,Kurdish (Kurdî / كوردی)
61,Kyrgyz (Кыргызча)
62,Lao (ພາສາລາວ)
63,Latin (Lingua Latina)
64,Latvian (Latviešu)
65,Lithuanian (Lietuvių)
66,Luxembourgish (Lëtzebuergesch)
67,Macedonian (Македонски)
68,Maithili (मैथिली)
69,Malagasy
70,Malay (Bahasa Melayu)
71,Malayalam (മലയാളം)
72,Maltese (Malti)
73,Maori (Te Reo Māori)
74,Marathi (मराठी)
75,Mongolian (Монгол)
76,Nepali (नेपाली)
77,Norwegian (Norsk)
78,Odia (Oriya) (ଓଡ଼ିଆ)
79,Oromo (Afaan Oromoo)
80,Pashto (پښتو)
81,Persian (Farsi) (فارسی)
82,Polish (Polski)
83,Portuguese (Português)
84,Punjabi (ਪੰਜਾਬੀ / پنجابی)
85,Quechua (Runa Simi)
86,Romanian (Română)
87,Russian (Русский)
88,Samoan (Gagana Sāmoa)
89,Sanskrit (संस्कृतम्)
90,Scottish Gaelic (Gàidhlig)
91,Serbian (Српски)
92,Shona (ChiShona)
93,Sindhi (سنڌي / सिन्धी)
94,Sinhala (සිංහල)
95,Slovak (Slovenčina)
96,Slovenian (Slovenščina)
97,Somali (Af-Soomaali)
98,Sotho (Sesotho)
99,Spanish (Español)
100,Sundanese (Basa Sunda)
101,Swahili (Kiswahili)
102,Swedish (Svenska)
103,Tagalog (Filipino)
104,Tahitian (Reo Tahiti)
105,Tajik (Тоҷикӣ)
106,Tamil (தமிழ்)
107,Tatar (Татарча)
108,Telugu (తెలుగు)
109,Thai (ภาษาไทย)
110,Tibetan (བོད་ཡིག)
111,Tigrinya (ትግርኛ)
112,Turkish (Türkçe)
113,Turkmen (Türkmençe)
114,Ukrainian (Українська)
115,Urdu (اردو)
116,Uyghur (ئۇيغۇرچە)
117,Uzbek (O'zbekcha)
118,Vietnamese (Tiếng Việt)
119,Welsh (Cymraeg)
120,Xhosa (isiXhosa)
121,Yiddish (ייִדיש)
122,Yoruba (Yorùbá)
123,Zulu (isiZulu)
