Code,Value,Description
1,Achomi,"A Persian-speaking ethnic group from southern Iran, many of whom (Ajam) migrated to the Arabian side of the Gulf, with descendants now holding Emirati nationality."
2,Adeni Jews,The historical Jewish community which resided in the port city of Aden; some later established communities in Eritrea and Ethiopia.
3,Afar,"A Cushitic ethnic group traditionally inhabiting the Horn of Africa, with territories bordering the Red Sea in Eritrea, Ethiopia, and Djibouti."
4,Afro-Arabs,"Arabs of substantial Sub-Saharan African ancestry, whose presence in the Arabian Peninsula and the Red Sea region resulted from centuries of migration and the slave trade."
5,Afro-Armenians,People of mixed Armenian and African descent in the Red Sea region.
6,Afro-Greeks,People of mixed Greek and African descent in the Red Sea region.
7,Afro-Iranians,"People of mixed Iranian and African descent, reflecting historical connections across the Persian Gulf and Red Sea."
8,Afro-Yemeni ('muwalladin'),"People of mixed Yemeni and African descent. Academic research focuses on their social, economic and security challenges, particularly since the start of the civil war in Yemen."
9,Agau,"An ethnic group living in central and northern Ethiopia and Eritrea, closely related culturally and linguistically to the Amhara and Tigre peoples."
10,Ajam,"An Arabic term for non-Arabs, but used specifically in the Gulf context to refer to Emiratis and other Gulf Arabs of Persian (Iranian) descent."
11,Amhara,"An ethnic group from the Ethiopian highlands, historically in tension with the Muslim peoples of the Red Sea littoral."
12,Asian-Africans ('blasians'),People of mixed Asian and African descent.
13,Bakhtiari,A group of Persian-speaking tribes inhabiting the Zagros Mountains in western Iran.
14,Baloch,"An Iranic ethnic group originating from the Balochistan region, with communities settled in Oman and the UAE, sometimes considered part of the broader Ajam community."
15,Beja (Hedareb),"A Cushitic ethnic group from northeastern Sudan, Eritrea, and Egypt, including the Hadendowa, Bisharin, Amar'ar, Bani-Amir, and Ababda tribes along the Red Sea coast."
16,Beta Israel,"One of the oldest Jewish communities, present in Ethiopia and mentioned in the Biblical Book of Esther. Evacuated to Israel via Sudan and the Red Sea in Operations Brothers, Moses, and Joshua."
17,Bilen,"An ethnic group in Eritrea primarily concentrated in and around the city of Keren, including adherents of both Islam and Christianity."
18,Egyptians-Nubians,People of mixed Egyptian and Nubian descent along the Nile and Red Sea coast. 
19,Eritreans,"The native inhabitants of Eritrea, comprising nine officially recognized ethnic groups including Tigrinya, Tigre, Afar, Saho, Bilen, Beja, Kunama, Nara, and Rashaida."
20,Ethio-Djiboutians,People of mixed Ethiopian and Djiboutian descent.
21,Ethiopians,"The native inhabitants of Ethiopia, comprising numerous ethnic groups including Oromo, Amhara, Tigrayan, Somali, Afar, and others, with historical ties to Red Sea trade."
22,Euro-Africans,"People of mixed European and African descent in the Red Sea region, resulting from colonial encounters during the 19th and 20th centuries."
23,Greeks,"Greek-speaking mariners, sponge and pearl merchants, and entrepreneurs who established communities along the Red Sea, particularly after the opening of the Suez Canal in 1869, working on both traditional dhows and European vessels."
24,Huwala,"An Arab community that historically settled on the Persian coast of the Gulf and later migrated back to Arabia, maintaining distinct cultural practices."
25,Italo-Eritreans ('meticci'),"Euro-Africans resulting from colonial encounters in the Horn of Africa during the 19th and 20th centuries, particularly in Eritrea under Italian administration."
26,Italians,"Italian colonial agents, missionaries, merchants, and settlers who arrived in the Red Sea region, notably after the Rubattino Shipping Company acquired Assab Bay in 1869, leading to Italian colonial expansion into Eritrea."
27,Jeberti,"A community in Eritrea tracing descent from early Muslim adherents and settlers, speaking Arabic and Tigrinya."
28,Kumzari,"An ethnolinguistic group speaking a Southwestern Iranian language, residing in fishing communities in the Musandam Peninsula (Oman) and parts of the UAE."
29,Kunama,"An ethnic group mainly living in Eritrea's Gash Barka Region and adjacent parts of Ethiopia's Tigray Region, practicing traditional beliefs, Christianity, or Islam."
30,Lurs,"An Iranic people living in western Iran, speaking a Persian dialect."
31,Nara,"An ethnic group in Eritrea residing principally along the southwestern border with Sudan and Ethiopia, generally Muslim with some Christians and indigenous beliefs."
32,Nubians,"An ancient people straddling the border between modern-day Egypt and Sudan, whose history is entwined with that of ancient Egypt. They developed into important channels for trade between Africa, Egypt, and Southwest Asia."
33,Oromo,"A major Cushitic ethnic group in Ethiopia, described as an intermediate people between the highland Christians and the lowland Muslims."
34,Persians,"The dominant ethnic group of Iran (Persia), whose traders, merchants, and migrants have had a profound influence on both shores of the Persian Gulf and the Red Sea trade for millennia. Persian traders established trading towns on the Swahili Coast by around the first millennium AD."
35,Rashaida,A Bedouin Arab tribe present in Sudan and Eritrea along the Red Sea coast.
36,Saho,"A Cushitic ethnic group related to the Afar, inhabiting Eritrea and parts of Ethiopia."
37,Saudi-Africans,People of mixed Saudi and African descent.
38,Somali,"A major Cushitic ethnic group in the Horn of Africa, including the Issa and Gadabuursi clans in Djibouti, with deep historical ties to trade across the Red Sea."
39,Sudanese-Egyptians,People of mixed Sudanese and Egyptian descent.
40,Tigre,"A nomadic and pastoralist ethnic group indigenous to Eritrea, inhabiting the lowlands and northern highlands, predominantly Muslim with a small number of Christians."
41,Tigrinya,"The largest ethnic group in Eritrea, constituting about 50% of the population, predominantly Christian (mostly Eritrean Orthodox), inhabiting the highlands of Eritrea."
42,Yemeni-Djiboutians,"People of mixed Yemeni and Djiboutian descent, reflecting the close migratory connections between the Horn of Africa and the Arabian Peninsula."
