Code,Value,Description
A,Artisans,Skilled craftworkers in urban economies
W,Construction workers,Involved in urban development
D,Domestic servants,
E,Entrepreneurs,"In import-export, wholesale, and retail businesses"
G,Farmers / Agricultural workers,On plantations
F,Fishermen,Engaged in fishing along the coast
S,Mariners / Sailors,Including stokers and trimmers on steamships
N,Masons,
M,Merchants,Traders involved in regional and international commerce
P,Port laborers,
C,Ship crew,Working on both traditional dhows and European vessels
V,Slaves,Forced into a wide range of occupations
T,Transport workers,
