Code,Value
1,Ahom (Tai Ahom)
2,Albanian (Elbasan)
3,Amharic (Ge'ez / Ethiopic)
4,Arabic (العربية)
5,Aramaic (?￰ﾐﾡﾓ?￰ﾐﾡﾉ?)
6,Armenian (Հայոց)
7,Avestan (?￰ﾐﾬﾬ?￰ﾐﾬﾯ?￰ﾐﾬﾀ?￰ﾐﾬﾥ)
8,Balinese (ᬩᬲᬩᬮᬶ)
9,Bamum (ꛀꛤꛉꛌ)
10,Batak (Batak)
11,Baybayin (ᜊᜌ᜔ᜊᜌᜒᜈ᜔) - Philippines
12,Bengali–Assamese (বাংলা-অসমীয়া)
13,Bhaiksuki (?￰ﾑﾰﾹ?￰ﾑﾰ﾿?￰ﾑﾰﾱ?￰ﾑﾰﾱ)
14,Blackfoot (Siksiká)
15,Bopomofo (Zhuyin Fuhao / ㄅㄆㄇㄈ)
16,Borama (Gadabuursi)
17,Brahmi (?￰ﾑﾁﾆ?￰ﾑﾀﾸ?￰ﾑﾁﾆ?￰ﾑﾀﾻ)
18,Braille (⠃⠗⠁⠊⠇⠇⠑)
19,Buginese (Lontara / ᨒᨚᨈᨑ)
20,Buhid (ᝊᝓᝑᝒ)
21,Canadian Aboriginal Syllabics (ᖃᓂᐅᔮᕐᒃᓴᐃᑦ)
22,Carian (?￰ﾐﾊﾠ?￰ﾐﾊﾠ)
23,Celtic Ogham (᚛ᚑᚌᚐᚋ᚜)
24,Chakma (?￰ﾑﾄﾋ?￰ﾑﾄﾟ?￰ﾑﾄﾦ)
25,Cham (ꨀꨇꨮꨣꩀ)
26,Cherokee (ᏣᎳᎩ)
27,Chinese (汉字 / 漢字)
28,Chorasmian (?￰ﾐﾫﾇ?￰ﾐﾫﾉ?￰ﾐﾫﾏ?)
29,Cirth (ᚦ᛫ᚳᛁᚱᛏᚻ) - Artificial (Tolkien)
30,Coptic (ϯⲙⲉⲧⲣⲉⲙⲛ̀ⲭⲏⲙⲓ)
31,Cree (ᓀᐦᐃᔭᐍᐏᐣ)
32,"Cuneiform (?￰ﾒﾀﾀ?) - Sumerian, Akkadian, Elamite, Hittite, etc."
33,Cypriot (?￰ﾐﾠﾐ?)
34,Cyrillic (Кириллица)
35,Deseret (?￰ﾐﾐﾯ?￰ﾐﾐﾨ?￰ﾐﾐﾯ?)
36,Devanagari (देवनागरी)
37,Dives Akuru (ދިވެހި އަކުރު)
38,Egyptian Hieroglyphs (?￰ﾓﾏﾤ?￰ﾓﾆﾎ?￰ﾓﾏﾏ?)
39,Elbasan (?￰ﾐﾔﾛ?￰ﾐﾔﾛ)
40,Elder Futhark (ᚠᚢᚦᚨᚱᚲ) - Runic
41,Elvish (Tengwar) (?￰ﾑﾁﾂ?￰ﾑﾁﾆ?￰ﾑﾀﾸ?￰ﾑﾁﾆ) - Artificial (Tolkien)
42,Elymaic (?￰ﾐﾭ﾿?￰ﾐﾮﾁ?)
43,Ethiopic (Ge'ez / ግዕዝ)
44,Etruscan (?￰ﾐﾌﾋ?￰ﾐﾌﾇ?￰ﾐﾌﾁ?￰ﾐﾌﾕ)
45,Georgian (Mkhedruli / მხედრული)
46,Glagolitic (Ⰳⰾⰰⰳⱁⰾⰹⱌⰰ)
47,Gothic (?￰ﾐﾌ﾿?￰ﾐﾌﾹ?￰ﾐﾌﾺ?)
48,Grantha (?￰ﾑﾍﾍ?￰ﾑﾌﾨ?￰ﾑﾌﾥ)
49,Greek (Ελληνικό)
50,Gujarati (ગુજરાતી)
51,Gunjala Gondi (?￰ﾑﾶﾍ?￰ﾑﾶﾅ ?￰ﾑﾶﾗ?￰ﾑﾶﾍ?)
52,Gurmukhi (ਗੁਰਮੁਖੀ)
53,Han (漢字 / 汉字)
54,Hangul (한글)
55,Hanifi Rohingya (?￰ﾐﾴﾟ?￰ﾐﾴﾥ?￰ﾐﾴﾚ?￰ﾐﾴﾙ?)
56,Hanja (漢字 / 한자) - Korean Chinese characters
57,Hanunoo (ᜱᜨᜳᜨᜳᜢ)
58,Hatran (?￰ﾐﾣﾡ?￰ﾐﾣﾠ?￰ﾐﾣﾠ)
59,Hebrew (עברית)
60,Hiragana (ひらがな)
61,Imperial Aramaic (?￰ﾐﾡﾓ?￰ﾐﾡﾉ?)
62,Indus Script (?￰ﾑﾁﾧ?￰ﾑﾁﾩ?) - Undeciphered
63,Inscriptional Pahlavi (?￰ﾐﾭﾠ?￰ﾐﾭﾮ?￰ﾐﾭﾪ)
64,Inuktitut (ᐃᓄᒃᑎᑐᑦ)
65,IPA (International Phonetic Alphabet)
66,Javanese (ꦲꦏ꧀ꦱꦫꦗꦮ)
67,Kaithi (?￰ﾑﾂﾶ?￰ﾑﾂﾲ)
68,Kalinga (?￰ﾑﾂﾪ?￰ﾑﾂﾁ?)
69,Kana (仮名) - Umbrella term for Hiragana & Katakana
70,Kannada (ಕನ್ನಡ)
71,Kanji (漢字 / かんじ)
72,Katakana (カタカナ)
73,Kawi (ᑲᐅᬯᬶ)
74,Kharosthi (?￰ﾐﾨﾪ?￰ﾐﾨﾯ?￰ﾐﾨﾟ?￰ﾐﾨﾌ)
75,Khmer (អក្សរខ្មែរ)
76,Khojki (?￰ﾑﾈﾺ?￰ﾑﾈﾭ?)
77,Khudabadi (?￰ﾑﾋﾩ?￰ﾑﾋﾋ?￰ﾑﾋﾔ?￰ﾑﾋﾔ?)
78,Khwarezmian (?￰ﾐﾫﾇ?￰ﾐﾫﾉ?￰ﾐﾫﾏ?)
79,Klingon (pIqaD / ﭨﭦﭙﭔﭦ) - Artificial (Star Trek)
80,Lao (ລາວ)
81,Latin (ABC)
82,Lepcha (ᰛᰩᰴ)
83,Limbu (ᤛᤠᤖᤠᤔᤠ)
84,Linear A (?￰ﾐﾘﾃ?￰ﾐﾘﾅ?￰ﾐﾘﾇ?) - Undeciphered (Minoan)
85,Linear B (?￰ﾐﾀﾁ?￰ﾐﾀﾃ?￰ﾐﾀﾅ?) - Mycenaean Greek
86,Lisu (Fraser) (ꓡꓲ-ꓢꓴ)
87,Lycian (?￰ﾐﾊﾕ?￰ﾐﾊﾎ?￰ﾐﾊﾍ?)
88,Lydian (?￰ﾐﾤﾱ?￰ﾐﾤﾭ?￰ﾐﾤﾦ?)
89,Mahajani (?￰ﾑﾅﾪ?￰ﾑﾅﾧ?)
90,Malayalam (മലയാളം)
91,Mandaic (ࡌࡀࡍࡃࡀࡉࡀ)
92,Manichaean (?￰ﾐﾫﾀ?￰ﾐﾫﾏ)
93,Marchen (?￰ﾑﾲﾁ?￰ﾑﾲﾌ?￰ﾑﾱﾴ?￰ﾑﾲﾎ)
94,Masaram Gondi (?￰ﾑﾵﾅ?￰ﾑﾵﾁ?￰ﾑﾵﾄ ?￰ﾑﾴﾱ?￰ﾑﾵﾄ?￰ﾑﾵﾄ)
95,Math (Mathematical notation)
96,Mayan Hieroglyphs (Undeciphered partially)
97,Meetei Mayek (ꯃꯩꯇꯩ ꯃꯌꯦꯛ)
98,Mende Kikakui (?￰ﾞﾠﾁ?￰ﾞﾠﾃ?￰ﾞﾠﾅ)
99,Meroitic (?￰ﾐﾦﾡ?￰ﾐﾦﾣ?￰ﾐﾦﾥ?)
100,Miao (Pollard) (?￰ﾖﾼﾁ?￰ﾖﾼﾃ?￰ﾖﾼﾅ)
101,Modi (मोडी)
102,Mongolian (ᠮᠣᠩᠭᠣᠯ)
103,Mro (?￰ﾖﾩﾁ?￰ﾖﾩﾃ?￰ﾖﾩﾅ)
104,Multani (?￰ﾑﾊﾁ?￰ﾑﾊﾃ?￰ﾑﾊﾅ)
105,Music Notation (Western & Non-Western)
106,Myanmar (Burmese / မြန်မာ)
107,Nabataean (?￰ﾐﾢﾓ?￰ﾐﾢﾞ?￰ﾐﾢﾍ?)
108,Nandinagari (?￰ﾑﾧﾍ?￰ﾑﾧﾀ?￰ﾑﾧﾟ)
109,New Tai Lue (ᦒᧄ ᦺᦑ ᦟᦹᧉ)
